Designation	Conditions	Count	Percent
Light-Restricted	ATAC6vsATHC6	0	0
Dark-Restricted	ATAC6vsATHC6	5	2.7933
Light-Shared	ATAC6vsATHC6	35	0.600034
Dark-Shared	ATAC6vsHTAC6	0	0
Light-Restricted	ATAC6vsHTAC6	0	0
Dark-Restricted	ATAC6vsHTAC6	0	0
Light-Shared	ATAC6vsHTAC6	10	0.171438
Dark-Shared	ATAC6vsHTHC6	0	0
Light-Restricted	ATAC6vsHTHC6	0	0
Dark-Restricted	ATAC6vsHTHC6	2	1.11732
Light-Shared	ATAC6vsHTHC6	20	0.342877
Dark-Shared	ATAC7vsATHC7	0	0
Light-Restricted	ATAC7vsATHC7	0	0
Dark-Restricted	ATAC7vsATHC7	0	0
Light-Shared	ATAC7vsATHC7	2	0.0342877
Dark-Shared	ATAC7vsHTAC7	2	22.2222
Light-Restricted	ATAC7vsHTAC7	12	9.6
Dark-Restricted	ATAC7vsHTAC7	30	16.7598
Light-Shared	ATAC7vsHTAC7	1439	24.67
Dark-Shared	ATAC7vsHTHC7	0	0
Light-Restricted	ATAC7vsHTHC7	0	0
Dark-Restricted	ATAC7vsHTHC7	0	0
Light-Shared	ATAC7vsHTHC7	16	0.274301
Dark-Shared	ATAC8vsATHC8	0	0
Light-Restricted	ATAC8vsATHC8	4	3.2
Dark-Restricted	ATAC8vsATHC8	4	2.23464
Light-Shared	ATAC8vsATHC8	144	2.46871
Dark-Shared	ATAC8vsHTAC8	6	66.6667
Light-Restricted	ATAC8vsHTAC8	54	43.2
Dark-Restricted	ATAC8vsHTAC8	97	54.1899
Light-Shared	ATAC8vsHTAC8	1731	29.676
Dark-Shared	ATAC8vsHTHC8	0	0
Light-Restricted	ATAC8vsHTHC8	0	0
Dark-Restricted	ATAC8vsHTHC8	1	0.558659
Light-Shared	ATAC8vsHTHC8	25	0.428596
Dark-Shared	ATAC9vsATHC9	3	33.3333
Light-Restricted	ATAC9vsATHC9	53	42.4
Dark-Restricted	ATAC9vsATHC9	41	22.905
Light-Shared	ATAC9vsATHC9	2707	46.4084
Dark-Shared	ATAC9vsHTAC9	0	0
Light-Restricted	ATAC9vsHTAC9	0	0
Dark-Restricted	ATAC9vsHTAC9	0	0
Light-Shared	ATAC9vsHTAC9	5	0.0857192
Dark-Shared	ATAC9vsHTHC9	0	0
Light-Restricted	ATAC9vsHTHC9	2	1.6
Dark-Restricted	ATAC9vsHTHC9	0	0
Light-Shared	ATAC9vsHTHC9	13	0.22287
Dark-Shared	Total	9	6
Light-Restricted	Total	125	11.4995
Dark-Restricted	Total	179	4.598
Light-Shared	Total	5833	11.8427
