tissue	tissue_color		metacell_color	cell	cell_color	broadcell	broadcell_color
adult	#fb9a99	89	turquoise3	epidermis1	turquoise3	epidermis	turquoise3
adult	#fb9a99	90	turquoise3	epidermis1	turquoise3	epidermis	turquoise3
adult	#fb9a99	91	turquoise3	epidermis1	turquoise3	epidermis	turquoise3
adult	#fb9a99	92	turquoise2	epidermis2	turquoise2	epidermis	turquoise3
adult	#fb9a99	93	turquoise2	epidermis2	turquoise2	epidermis	turquoise3
adult	#fb9a99	94	turquoise2	epidermis2	turquoise2	epidermis	turquoise3
adult	#fb9a99	95	turquoise2	epidermis2	turquoise2	epidermis	turquoise3
adult	#fb9a99	96	turquoise2	epidermis2	turquoise2	epidermis	turquoise3
adult	#fb9a99	97	turquoise2	epidermis2	turquoise2	epidermis	turquoise3
adult	#fb9a99	98	turquoise2	epidermis2	turquoise2	epidermis	turquoise3
adult	#fb9a99	99	turquoise2	epidermis2	turquoise2	epidermis	turquoise3
adult	#fb9a99	100	turquoise2	epidermis2	turquoise2	epidermis	turquoise3
adult	#fb9a99	101	turquoise2	epidermis2	turquoise2	epidermis	turquoise3
adult	#fb9a99	102	turquoise2	epidermis2	turquoise2	epidermis	turquoise3
adult	#fb9a99	103	turquoise1	epidermis3	turquoise1	epidermis	turquoise3
adult	#fb9a99	104	turquoise1	epidermis3	turquoise1	epidermis	turquoise3
adult	#fb9a99	105	turquoise1	epidermis3	turquoise1	epidermis	turquoise3
adult	#fb9a99	106	turquoise1	epidermis3	turquoise1	epidermis	turquoise3
adult	#fb9a99	107	turquoise1	epidermis3	turquoise1	epidermis	turquoise3
adult	#fb9a99	108	turquoise1	epidermis3	turquoise1	epidermis	turquoise3
adult	#fb9a99	109	turquoise1	epidermis3	turquoise1	epidermis	turquoise3
adult	#fb9a99	110	turquoise1	epidermis3	turquoise1	epidermis	turquoise3
adult	#fb9a99	111	turquoise4	epidermis4	turquoise4	epidermis	turquoise3
adult	#fb9a99	112	turquoise4	epidermis4	turquoise4	epidermis	turquoise3
adult	#fb9a99	113	turquoise4	epidermis4	turquoise4	epidermis	turquoise3
adult	#fb9a99	114	turquoise4	epidermis4	turquoise4	epidermis	turquoise3
adult	#fb9a99	115	turquoise4	epidermis4	turquoise4	epidermis	turquoise3
adult	#fb9a99	116	turquoise4	epidermis4	turquoise4	epidermis	turquoise3
adult	#fb9a99	117	turquoise4	epidermis4	turquoise4	epidermis	turquoise3
adult	#fb9a99	118	turquoise4	epidermis4	turquoise4	epidermis	turquoise3
adult	#fb9a99	119	turquoise4	epidermis4	turquoise4	epidermis	turquoise3
adult	#fb9a99	120	turquoise4	epidermis4	turquoise4	epidermis	turquoise3
adult	#fb9a99	121	turquoise4	epidermis4	turquoise4	epidermis	turquoise3
adult	#fb9a99	122	grey	precursors	grey	precursors	grey
adult	#fb9a99	123	grey	precursors	grey	precursors	grey
adult	#fb9a99	124	grey	precursors	grey	precursors	grey
adult	#fb9a99	125	grey	precursors	grey	precursors	grey
adult	#fb9a99	126	grey	precursors	grey	precursors	grey
adult	#fb9a99	127	grey	precursors	grey	precursors	grey
adult	#fb9a99	128	grey	precursors	grey	precursors	grey
adult	#fb9a99	129	grey	precursors	grey	precursors	grey
adult	#fb9a99	130	grey	precursors	grey	precursors	grey
adult	#fb9a99	131	grey	precursors	grey	precursors	grey
adult	#fb9a99	132	grey	precursors	grey	precursors	grey
adult	#fb9a99	133	grey	precursors	grey	precursors	grey
adult	#fb9a99	134	grey	precursors	grey	precursors	grey
adult	#fb9a99	135	grey	precursors	grey	precursors	grey
adult	#fb9a99	136	grey	precursors	grey	precursors	grey
adult	#fb9a99	137	grey	precursors	grey	precursors	grey
adult	#fb9a99	138	grey	precursors	grey	precursors	grey
adult	#fb9a99	139	grey	precursors	grey	precursors	grey
adult	#fb9a99	140	grey	precursors	grey	precursors	grey
adult	#fb9a99	141	grey	precursors	grey	precursors	grey
adult	#fb9a99	142	grey	precursors	grey	precursors	grey
adult	#fb9a99	143	grey	precursors	grey	precursors	grey
adult	#fb9a99	144	grey	precursors	grey	precursors	grey
adult	#fb9a99	145	grey	precursors	grey	precursors	grey
adult	#fb9a99	146	grey	precursors	grey	precursors	grey
adult	#fb9a99	147	grey	precursors	grey	precursors	grey
