tissue	tissue_color	metacell	metacell_color	cell	cell_color	broadcell	broadcell_color
adult	#fb9a99	65	deepskyblue1	neuron_peptidergic1	deepskyblue1	neuron	skyblue
adult	#fb9a99	66	deepskyblue1	neuron_peptidergic1	deepskyblue1	neuron	skyblue
adult	#fb9a99	67	deepskyblue2	neuron_peptidergic2	deepskyblue2	neuron	skyblue
adult	#fb9a99	68	deepskyblue3	neuron_peptidergic3	deepskyblue3	neuron	skyblue
adult	#fb9a99	69	deepskyblue3	neuron_peptidergic3	deepskyblue3	neuron	skyblue
adult	#fb9a99	70	deepskyblue4	neuron_peptidergic4	deepskyblue4	neuron	skyblue
adult	#fb9a99	71	deepskyblue4	neuron_peptidergic4	deepskyblue4	neuron	skyblue
adult	#fb9a99	72	lightskyblue4	neuron_peptidergic5	lightskyblue4	neuron	skyblue
adult	#fb9a99	73	dodgerblue3	neuron_lwamide	dodgerblue3	neuron	skyblue
adult	#fb9a99	74	dodgerblue3	neuron_lwamide	dodgerblue3	neuron	skyblue
adult	#fb9a99	75	dodgerblue3	neuron_lwamide	dodgerblue3	neuron	skyblue
adult	#fb9a99	76	blue3	neuron_vasopressin	blue3	neuron	skyblue
adult	#fb9a99	77	royalblue3	neuron_insulin	royalblue3	neuron	skyblue
adult	#fb9a99	78	steelblue1	neuron_unk2	steelblue1	neuron	skyblue
adult	#fb9a99	79	steelblue2	neuron_unk3	steelblue2	neuron	skyblue
adult	#fb9a99	80	steelblue	neuron_unk4	steelblue	neuron	skyblue
adult	#fb9a99	81	cadetblue3	neuron_unclass2	cadetblue3	neuron	skyblue
adult	#fb9a99	82	cadetblue2	neuron_unclass3	cadetblue2	neuron	skyblue
adult	#fb9a99	83	cadetblue2	neuron_unclass3	cadetblue2	neuron	skyblue
adult	#fb9a99	84	cadetblue1	neuron_unclass4	cadetblue1	neuron	skyblue
adult	#fb9a99	85	lightskyblue2	neuron_unclass5	lightskyblue2	neuron	skyblue
adult	#fb9a99	86	lightskyblue2	neuron_unclass5	lightskyblue2	neuron	skyblue
adult	#fb9a99	87	lightskyblue2	neuron_unclass5	lightskyblue2	neuron	skyblue
adult	#fb9a99	88	lightskyblue2	neuron_unclass5	lightskyblue2	neuron	skyblue
adult	#fb9a99	89	lightskyblue1	neuron_unclass6	lightskyblue1	neuron	skyblue
adult	#fb9a99	90	aquamarine3	neuron_unclass7	aquamarine3	neuron	skyblue
adult	#fb9a99	91	aquamarine2	neuron_unclass8	aquamarine2	neuron	skyblue
adult	#fb9a99	92	aquamarine1	neuron_unclass9	aquamarine1	neuron	skyblue
