tissue	tissue_color	metacell	metacell_color	cell	cell_color	broadcell	broadcell_color
adult	#fb9a99	136	turquoise2	epidermis_2	turquoise2	epidermis	turquoise3
adult	#fb9a99	137	turquoise2	epidermis_2	turquoise2	epidermis	turquoise3
adult	#fb9a99	138	purple3	calicoblast	purple3	calicoblast	purple3
adult	#fb9a99	139	purple3	calicoblast	purple3	calicoblast	purple3
adult	#fb9a99	140	purple3	calicoblast	purple3	calicoblast	purple3
adult	#fb9a99	141	purple3	calicoblast	purple3	calicoblast	purple3
adult	#fb9a99	142	purple3	calicoblast	purple3	calicoblast	purple3
adult	#fb9a99	143	purple3	calicoblast	purple3	calicoblast	purple3
adult	#fb9a99	144	purple3	calicoblast	purple3	calicoblast	purple3
adult	#fb9a99	145	purple3	calicoblast	purple3	calicoblast	purple3
adult	#fb9a99	146	purple3	calicoblast	purple3	calicoblast	purple3
adult	#fb9a99	147	blue1	neuron_1	blue1	neuron	blue1
adult	#fb9a99	148	blue1	neuron_1	blue1	neuron	blue1
adult	#fb9a99	149	blue1	neuron_1	blue1	neuron	blue1
adult	#fb9a99	150	blue1	neuron_1	blue1	neuron	blue1
adult	#fb9a99	151	blue1	neuron_1	blue1	neuron	blue1
adult	#fb9a99	152	blue1	neuron_1	blue1	neuron	blue1
adult	#fb9a99	153	blue1	neuron_1	blue1	neuron	blue1
adult	#fb9a99	154	dodgerblue	neuron_2	dodgerblue	neuron	blue1
adult	#fb9a99	155	blue4	neuron_3	blue4	neuron	blue1
adult	#fb9a99	156	dodgerblue4	neuron_4	dodgerblue4	neuron	blue1
adult	#fb9a99	157	dodgerblue4	neuron_4	dodgerblue4	neuron	blue1
adult	#fb9a99	158	dodgerblue4	neuron_4	dodgerblue4	neuron	blue1
adult	#fb9a99	159	deepskyblue3	neuron_5	deepskyblue3	neuron	blue1
adult	#fb9a99	160	deepskyblue3	neuron_5	deepskyblue3	neuron	blue1
adult	#fb9a99	161	royalblue2	neuron_6	royalblue2	neuron	blue1
adult	#fb9a99	162	steelblue4	neuron_7	steelblue4	neuron	blue1
adult	#fb9a99	163	deepskyblue1	neuron_8	deepskyblue1	neuron	blue1
adult	#fb9a99	164	deepskyblue4	neuron_9	deepskyblue4	neuron	blue1
adult	#fb9a99	165	lightblue3	neuron_10	lightblue3	neuron	blue1
adult	#fb9a99	166	dodgerblue3	neuron_11	dodgerblue3	neuron	blue1
adult	#fb9a99	167	lightskyblue3	neuron_12	lightskyblue3	neuron	blue1
adult	#fb9a99	168	royalblue4	neuron_13	royalblue4	neuron	blue1
adult	#fb9a99	169	lightblue1	neuron_14	lightblue1	neuron	blue1
adult	#fb9a99	170	chocolate1	gland_1	chocolate1	gland	chocolate1
adult	#fb9a99	171	chocolate3	gland_2	chocolate3	gland	chocolate1
adult	#fb9a99	172	darkorange4	gland_3_digestive	darkorange4	gland	chocolate1
adult	#fb9a99	173	chocolate2	gland_4	chocolate2	gland	chocolate1
adult	#fb9a99	174	darkorange1	gland_5	darkorange1	gland	chocolate1
adult	#fb9a99	175	darkorange3	gland_6	darkorange3	gland	chocolate1
adult	#fb9a99	176	darkorange	gland_7	darkorange	gland	chocolate1
adult	#fb9a99	177	chocolate4	gland_8	chocolate4	gland	chocolate1
adult	#fb9a99	178	orange2	gland_9	orange2	gland	chocolate1
adult	#fb9a99	179	orange4	gland_10	orange4	gland	chocolate1
adult	#fb9a99	180	gray44	unknown	gray44	unknown	gray44
