"","gene","cell_type","FC","Species","Lifestage"
"144","Hvul_g32541_1","germline_i_male",243.593,"Hvul","Adult"
"145","Hvul_g32542_1","germline_i_male",80.71429,"Hvul","Adult"
"146","Hvul_g33051_1","cnidocyte_ecEp_head_hypostome",428.1108,"Hvul","Adult"
"147","Hvul_g33076_1","neuron_i_ec1",98.27287,"Hvul","Adult"
"148","Hvul_g33299_1","gland_i_granular_mucous",80.84252,"Hvul","Adult"
"149","Hvul_g3331_1","germline_i_female",6.626926,"Hvul","Adult"
"150","Hvul_g33329_1","neuron_i_ec5",767.6996,"Hvul","Adult"
"151","Hvul_g33330_1","neuron_i_ec1",95.1305,"Hvul","Adult"
"152","Hvul_g33337_1","neuron_i_ec5",607.2222,"Hvul","Adult"
"153","Hvul_g33343_1","neuron_i_ec1",50.2113,"Hvul","Adult"
"154","Hvul_g33550_1","cnidocyte_i_nb1",6.544055,"Hvul","Adult"
"155","Hvul_g3411_1","cnidocyte_i_nb1",5.939916,"Hvul","Adult"
"156","Hvul_g3565_1","germline_i_female_nurse_cell",75.32811,"Hvul","Adult"
"157","Hvul_g3568_1","germline_i_female",5.844677,"Hvul","Adult"
"158","Hvul_g3660_1","epidermis_ecEp_peduncle",46.70382,"Hvul","Adult"
"159","Hvul_g3709_1","epidermis_ecEp_basal_disk",76.76428,"Hvul","Adult"
"160","Hvul_g385_1","germline_i_female",14.21178,"Hvul","Adult"
"161","Hvul_g4038_1","neuron_i_ec2",114.7822,"Hvul","Adult"
"162","Hvul_g4046_1","neuron_i_ec4",566.6853,"Hvul","Adult"
"163","Hvul_g4047_1","neuron_i_ec4",583.8271,"Hvul","Adult"
"164","Hvul_g419_1","cnidocyte_i_nb1",7.285289,"Hvul","Adult"
"165","Hvul_g4335_1","gastrodermis_enEp_foot",32.20168,"Hvul","Adult"
"166","Hvul_g4544_1","gastrodermis_enEp_tentacle",65.0543,"Hvul","Adult"
"167","Hvul_g4656_1","neuron_i_ec4",51.03044,"Hvul","Adult"
"168","Hvul_g4770_1","neuron_i_ec2",437.787,"Hvul","Adult"
"169","Hvul_g5179_1","cnidocyte_i_nb3",17.94812,"Hvul","Adult"
"170","Hvul_g5843_1","precursors_nematocyte",97.07734,"Hvul","Adult"
"171","Hvul_g6139_1","gland_i_spumous_mucous",68.71983,"Hvul","Adult"
"172","Hvul_g6228_1","gland_i_granular_mucous",133.2309,"Hvul","Adult"
"173","Hvul_g6690_1","neuron_i_ec1",38.44643,"Hvul","Adult"
"174","Hvul_g6753_1","precursors_nematocyte",81.98289,"Hvul","Adult"
"175","Hvul_g6754_1","gastrodermis_enEp_foot",34.99871,"Hvul","Adult"
"176","Hvul_g7641_1","gland_i_spumous_mucous",57.92282,"Hvul","Adult"
"177","Hvul_g7871_1","neuron_i_ec1",232.1861,"Hvul","Adult"
"178","Hvul_g7895_1","gland_i_zymogen",138.2568,"Hvul","Adult"
"179","Hvul_g8497_1","gastrodermis_enEp_tentacle",45.62069,"Hvul","Adult"
"180","Hvul_g8512_1","germline_i_female_nurse_cell",193.7466,"Hvul","Adult"
"181","Hvul_g874_1","gastrodermis_enEp_foot",31.0889,"Hvul","Adult"
"182","Hvul_g8923_1","germline_i_male",115.7822,"Hvul","Adult"
"183","Hvul_g8970_1","gastrodermis_enEp_tentacle",58.95784,"Hvul","Adult"
"184","Hvul_g9233_1","germline_i_female",25.17277,"Hvul","Adult"
"185","Hvul_g9819_1","epidermis_ecEp_basal_disk",268.9003,"Hvul","Adult"
"186","Hvul_g9821_1","epidermis_ecEp_basal_disk",67.33524,"Hvul","Adult"
"187","Nvec_NVE10035","gland_secretory_1A",8.1086461360412,"Nvec","Adult"
"188","Nvec_NVE10051","muscle_somatic_gonad",37.656098434178,"Nvec","Adult"
"189","Nvec_NVE10098","gland_secretory_5",146.660358591104,"Nvec","Adult"
"190","Nvec_NVE10245","gland_secretory_U7",305.750532560689,"Nvec","Adult"
"191","Nvec_NVE10246","gland_secretory_U7",7.69275764465235,"Nvec","Adult"
"192","Nvec_NVE10633","neuron_unk5",11.7800253881185,"Nvec","Adult"
"193","Nvec_NVE10634","neuron_unk10",156.009840704672,"Nvec","Adult"
"194","Nvec_NVE10635","neuron_unk10",14.6308774235616,"Nvec","Adult"
"195","Nvec_NVE10701","gland_secretory_4",18.3432383395365,"Nvec","Adult"
"196","Nvec_NVE10739","neuron_peptidergic4",32.9148066857844,"Nvec","Adult"
"197","Nvec_NVE10740","neuron_unk13",39.3536288911264,"Nvec","Adult"
"198","Nvec_NVE108","neuron_peptidergic5",14.4455371679546,"Nvec","Adult"
"199","Nvec_NVE10948","gland_secretory_1B",6.48993227428177,"Nvec","Adult"
