new_name	cell_type_count	broad_type_count	cell_type	broad_type	FC
Galaxea_fascicularis_REEFv1___m1.16810.m1	2	1	adult_neuron_7	adult_neuron	2.3622938828028
Galaxea_fascicularis_REEFv1___m1.6318.m1	1	1	adult_neuron_13	adult_neuron	2.10660885504124
Galaxea_fascicularis_REEFv1___m1.16208.m1	3	2	adult_gastrodermis_musclelike	adult_gastrodermis	3.05348131809192
Galaxea_fascicularis_REEFv1___m1.16208.m1	3	2	adult_gastrodermis	adult_gastrodermis	2.72238653522888
Galaxea_fascicularis_REEFv1___m1.16208.m1	3	2	adult_cnidocyte	adult_cnidocyte	2.68303535781352
Galaxea_fascicularis_REEFv1___m1.15190.m1	1	1	adult_neuron_13	adult_neuron	4.3309106355814
Galaxea_fascicularis_REEFv1___m1.15194.m1	5	3	adult_neuron_3	adult_neuron	2.08731683152472
Galaxea_fascicularis_REEFv1___m1.15194.m1	5	3	adult_neuron_12	adult_neuron	4.88311936876489
Galaxea_fascicularis_REEFv1___m1.15194.m1	5	3	adult_gland_10	adult_gland	2.02473982465068
Galaxea_fascicularis_REEFv1___m1.15194.m1	5	3	adult_neuron_13	adult_neuron	2.49275191309052
Galaxea_fascicularis_REEFv1___m1.15194.m1	5	3	adult_epidermis_2	adult_epidermis	2.06633982143802
Galaxea_fascicularis_REEFv1___m1.15995.m1	2	2	adult_neuron_10	adult_neuron	2.5097443912271
Galaxea_fascicularis_REEFv1___m1.15995.m1	2	2	adult_epidermis_2	adult_epidermis	2.41302098763593
Galaxea_fascicularis_REEFv1___m1.23309.m1	1	1	adult_epidermis_1	adult_epidermis	2.32934203016578
Galaxea_fascicularis_REEFv1___m1.10751.m1	1	1	adult_neuron_10	adult_neuron	2.01059524764843
Galaxea_fascicularis_REEFv1___m1.23305.m1	1	1	adult_germline_sperm	adult_germline	2.50794821185062
Galaxea_fascicularis_REEFv1___m1.8828.m1	1	1	adult_mitotic_host_cells	adult_mitotic	2.67677484731607
Galaxea_fascicularis_REEFv1___m1.12464.m1	2	1	adult_neuron_1	adult_neuron	2.18449797123583
Galaxea_fascicularis_REEFv1___m1.12464.m1	2	1	adult_neuron_5	adult_neuron	4.35949638611528
Galaxea_fascicularis_REEFv1___m1.3429.m1	1	1	adult_neuron_12	adult_neuron	2.15225299188468
Galaxea_fascicularis_REEFv1___m1.4727.m1	1	1	adult_neuron_8	adult_neuron	4.54770054897536
Galaxea_fascicularis_REEFv1___m1.16131.m1	1	1	adult_germline_sperm	adult_germline	2.44380030900042
Galaxea_fascicularis_REEFv1___m1.8308.m1	1	1	adult_neuron_13	adult_neuron	3.4075150302922
Galaxea_fascicularis_REEFv1___m1.17188.m1	1	1	adult_germline_sperm	adult_germline	11.9541966649439
Galaxea_fascicularis_REEFv1___m1.14617.m1	2	2	adult_mitotic_host_cells	adult_mitotic	2.6384857036007
Galaxea_fascicularis_REEFv1___m1.14617.m1	2	2	adult_unknown	adult_unknown	3.25697210898278
Galaxea_fascicularis_REEFv1___m1.16932.m1	2	2	adult_mitotic_host_cells	adult_mitotic	2.25036671334458
Galaxea_fascicularis_REEFv1___m1.16932.m1	2	2	adult_immune_2	adult_immune	2.61790878134908
Galaxea_fascicularis_REEFv1___m1.2851.m1	1	1	adult_neuron_13	adult_neuron	6.68244251731527
Galaxea_fascicularis_REEFv1___m1.17184.m1	1	1	adult_germline_sperm	adult_germline	2.30039371898797
Galaxea_fascicularis_REEFv1___m1.19301.m1	2	2	adult_gastrodermis	adult_gastrodermis	2.99131550627478
Galaxea_fascicularis_REEFv1___m1.19301.m1	2	2	adult_alga-hosting_cells	adult_alga-hosting	3.22570759132204
Galaxea_fascicularis_REEFv1___m1.17985.m1	2	1	adult_neuron_8	adult_neuron	2.65828430210201
Galaxea_fascicularis_REEFv1___m1.17985.m1	2	1	adult_neuron_9	adult_neuron	3.60496234246555
Galaxea_fascicularis_REEFv1___m1.15919.m1	1	1	adult_neuron_13	adult_neuron	8.29756971257374
Galaxea_fascicularis_REEFv1___m1.13242.m1	1	1	adult_neuron_13	adult_neuron	3.06045775485075
Galaxea_fascicularis_REEFv1___m1.5061.m1	1	1	adult_neuron_13	adult_neuron	2.26365431539447
Galaxea_fascicularis_REEFv1___m1.17628.m1	1	1	adult_immune_1	adult_immune	2.08724999778334
Galaxea_fascicularis_REEFv1___m1.19943.m1	2	1	adult_neuron_10	adult_neuron	2.3816648865673
Galaxea_fascicularis_REEFv1___m1.19943.m1	2	1	adult_neuron_13	adult_neuron	3.75567775705902
Galaxea_fascicularis_REEFv1___m1.1675.m1	3	1	adult_neuron_4	adult_neuron	2.14569815576131
Galaxea_fascicularis_REEFv1___m1.1675.m1	3	1	adult_neuron_8	adult_neuron	4.00226913680059
Galaxea_fascicularis_REEFv1___m1.1675.m1	3	1	adult_neuron_9	adult_neuron	3.03828159935974
