new_name	cell_type_count	broad_type_count	cell_type	broad_type	FC	mid_range_cell_type_count	mid_range_broad_type_count
Galaxea_fascicularis_REEFv1___m1.20628.m1	1	1	adult_alga-hosting_cells	adult_alga-hosting	2.99555284574021	0	0
Galaxea_fascicularis_REEFv1___m1.4130.m1	1	1	adult_immune_2	adult_immune	2.85144451877787	0	0
Galaxea_fascicularis_REEFv1___m1.2616.m1	1	1	adult_cnidocyte	adult_cnidocyte	2.5343162705169	0	0
Galaxea_fascicularis_REEFv1___m1.18333.m1	1	1	adult_germline_sperm	adult_germline	3.91250694640852	0	0
Galaxea_fascicularis_REEFv1___m1.4894.m1	1	1	adult_neuron_13	adult_neuron	2.81109823759228	0	0
Galaxea_fascicularis_REEFv1___m1.5395.m1	1	1	adult_neuron_13	adult_neuron	2.60419384942101	0	0
Galaxea_fascicularis_REEFv1___m1.4533.m1	1	1	adult_germline_sperm	adult_germline	4.5051613005272	0	0
Galaxea_fascicularis_REEFv1___m1.3353.m1	1	1	adult_germline_sperm	adult_germline	2.56682766226121	0	0
Galaxea_fascicularis_REEFv1___m1.13694.m1	1	1	adult_neuron_10	adult_neuron	2.84708106058872	0	0
Galaxea_fascicularis_REEFv1___m1.633.m1	1	1	adult_neuron_13	adult_neuron	2.75071034799	0	0
Galaxea_fascicularis_REEFv1___m1.20466.m1	1	1	adult_neuron_13	adult_neuron	2.65387480590257	0	0
Galaxea_fascicularis_REEFv1___m1.17036.m1	1	1	adult_neuron_3	adult_neuron	3.31809225353659	0	0
Galaxea_fascicularis_REEFv1___m1.15282.m1	1	1	adult_neuron_10	adult_neuron	3.05229978021495	0	0
Galaxea_fascicularis_REEFv1___m1.18452.m1	1	1	adult_neuron_13	adult_neuron	18.6941798719263	0	0
Galaxea_fascicularis_REEFv1___m1.22022.m1	1	1	adult_neuron_13	adult_neuron	2.90262305832285	0	0
Galaxea_fascicularis_REEFv1___m1.516.m1	1	1	adult_neuron_13	adult_neuron	4.36328415980545	0	0
Galaxea_fascicularis_REEFv1___m1.17521.m1	1	1	adult_neuron_10	adult_neuron	2.768112209045	0	0
Galaxea_fascicularis_REEFv1___m1.15848.m1	1	1	adult_cnidocyte	adult_cnidocyte	3.44290766448922	0	0
Galaxea_fascicularis_REEFv1___m1.2423.m1	1	1	adult_neuron_13	adult_neuron	2.86664370670689	0	0
Galaxea_fascicularis_REEFv1___m1.10286.m1	1	1	adult_neuron_10	adult_neuron	2.82690085957544	0	0
Galaxea_fascicularis_REEFv1___m1.5438.m1	1	1	adult_calicoblast	adult_calicoblast	4.03983971791715	0	0
Galaxea_fascicularis_REEFv1___m1.10282.m1	1	1	adult_germline_sperm	adult_germline	3.01768547611167	0	0
Galaxea_fascicularis_REEFv1___m1.911.m1	1	1	adult_germline_sperm	adult_germline	8.48169143559756	0	0
Galaxea_fascicularis_REEFv1___m1.9743.m1	1	1	adult_immune_2	adult_immune	8.23350963831936	0	0
Galaxea_fascicularis_REEFv1___m1.20310.m1	1	1	adult_neuron_13	adult_neuron	4.44342433870808	0	0
Galaxea_fascicularis_REEFv1___m1.10966.m1	1	1	adult_germline_sperm	adult_germline	2.75936536984038	0	0
Galaxea_fascicularis_REEFv1___m1.3282.m1	1	1	adult_neuron_10	adult_neuron	3.75224967038607	0	0
Galaxea_fascicularis_REEFv1___m1.2709.m1	1	1	adult_gland_1	adult_gland	2.61896116802632	0	0
Galaxea_fascicularis_REEFv1___m1.6054.m1	1	1	adult_immune_1	adult_immune	2.53705781870665	0	0
Galaxea_fascicularis_REEFv1___m1.1452.m1	1	1	adult_neuron_13	adult_neuron	2.86664370670689	0	0
Galaxea_fascicularis_REEFv1___m1.1806.m1	1	1	adult_neuron_10	adult_neuron	2.5687798907976	0	0
