gene	cell_type	FC	Species	Lifestage
Nvec_v1g60683	muscle	23.0310052811597	Nvec	Adult
Nvec_v1g84136	gastrodermis	6.62872635208674	Nvec	Adult
Nvec_v1g90177	precursors	3.20812802228316	Nvec	Adult
Nvec_v1g92170	precursors	3.89451697023692	Nvec	Adult
Spis11865_1	unknown	45.4519784010472	Spis	Adult
Spis12267_1	unknown	23.2212229999779	Spis	Adult
Spis18343_1	cnidocyte	18.0185366260418	Spis	Adult
Spis20505_1	immune	8.25903514621646	Spis	Adult
Spis_LOC111318983	neuron	6.0192283469851	Spis	Adult
Spis_LOC111320741	gland	5.53622237964149	Spis	Adult
Spis_LOC111326826	calicoblast	11.6036161562707	Spis	Adult
Spis_XP_022779205_1	immune	10.3492115310955	Spis	Adult
Spis_XP_022779497_1	mitotic_host_cells	26.3251499220766	Spis	Adult
Spis_XP_022779498_1	mitotic_host_cells	7.76881828062507	Spis	Adult
Spis_XP_022779499_1	mitotic_host_cells	9.4755114500447	Spis	Adult
Spis_XP_022779557_1	alga.hosting_cells	11.126839126373	Spis	Adult
Spis_XP_022779566_1	unknown	38.6768832669198	Spis	Adult
Spis_XP_022779822_1	digestive_filaments	4.64340732249564	Spis	Adult
Spis_XP_022780302_1	neuron	5.73565011288762	Spis	Adult
Spis_XP_022780954_1	epidermis	4.94317220902364	Spis	Adult
Spis_XP_022781901_1	germline	37.822767429874	Spis	Adult
Spis_XP_022782026_1	alga.hosting_cells	10.3309596476882	Spis	Adult
Spis_XP_022783192_1	gland	4.6884775926283	Spis	Adult
Spis_XP_022783415_1	calicoblast	23.8639613061197	Spis	Adult
Spis_XP_022784214_1	neuron	7.03843060881758	Spis	Adult
Spis_XP_022784397_1	gastrodermis	4.52433553020606	Spis	Adult
Spis_XP_022785263_1	gastrodermis	5.43868944063699	Spis	Adult
Spis_XP_022785770_1	germline	20.1284245105186	Spis	Adult
Spis_XP_022786096_1	neuron	10.1294184116764	Spis	Adult
Spis_XP_022786186_1	epidermis	5.41650097909529	Spis	Adult
Spis_XP_022786238_1	epidermis	6.37085007359032	Spis	Adult
Spis_XP_022786297_1	neuron	6.23007871288269	Spis	Adult
Spis_XP_022786665_1	digestive_filaments	8.58521558586949	Spis	Adult
Spis_XP_022786709_1	alga.hosting_cells	23.9280302775277	Spis	Adult
Spis_XP_022786917_1	alga.hosting_cells	22.7547750896658	Spis	Adult
Spis_XP_022787013_1	mitotic_host_cells	9.83493000897531	Spis	Adult
Spis_XP_022787039_1	gastrodermis	5.13288353605198	Spis	Adult
Spis_XP_022787225_1	alga.hosting_cells	8.99120764398351	Spis	Adult
Spis_XP_022787371_1	cnidocyte	18.9262545261398	Spis	Adult
Spis_XP_022787678_1	digestive_filaments	7.12001236193157	Spis	Adult
Spis_XP_022788291_1	gland	7.5941594172801	Spis	Adult
Spis_XP_022788453_1	calicoblast	9.33328151437342	Spis	Adult
Spis_XP_022788474_1	neuron	6.5482440268863	Spis	Adult
Spis_XP_022789093_1	alga.hosting_cells	7.828405156619	Spis	Adult
Spis_XP_022789489_1	cnidocyte	10.8769804884437	Spis	Adult
Spis_XP_022789491_1	cnidocyte	14.8269975240952	Spis	Adult
Spis_XP_022789499_1	cnidocyte	25.8243565864249	Spis	Adult
Spis_XP_022789688_1	unknown	21.9882738591281	Spis	Adult
Spis_XP_022790329_1	gland	7.53920218979711	Spis	Adult
Spis_XP_022791001_1	gland	5.49199568826868	Spis	Adult
Spis_XP_022791277_1	gland	5.00348360435654	Spis	Adult
Spis_XP_022793409_1	mitotic_host_cells	39.0738168234364	Spis	Adult
Spis_XP_022793420_1	gastrodermis	5.50589470574477	Spis	Adult
Spis_XP_022793606_1	calicoblast	12.5458843177767	Spis	Adult
Spis_XP_022793819_1	germline	24.059971831015	Spis	Adult
Spis_XP_022793850_1	immune	13.2638648979906	Spis	Adult
Spis_XP_022794104_1	cnidocyte	13.5164409090577	Spis	Adult
Spis_XP_022794351_1	gastrodermis	5.0390975524945	Spis	Adult
Spis_XP_022794354_1	gland	5.20174496683649	Spis	Adult
Spis_XP_022794543_1	epidermis	4.9036251385042	Spis	Adult
Spis_XP_022795168_1	gland	5.06156211510494	Spis	Adult
Spis_XP_022795301_1	digestive_filaments	7.27299222804037	Spis	Adult
Spis_XP_022795719_1	cnidocyte	19.8420348167886	Spis	Adult
