"","gene","cell_type","FC","Species","Lifestage"
"251","orphan_peak_14663","calicoblast",11.631271178742,"Spis","Adult"
"252","orphan_peak_16904","mitotic_host_cells",7.43087725852718,"Spis","Adult"
"253","orphan_peak_1959","digestive_filaments",4.90716345318605,"Spis","Adult"
"254","orphan_peak_20874","unknown",79.8852226892772,"Spis","Adult"
"255","orphan_peak_21324","germline",31.8645573833196,"Spis","Adult"
"256","orphan_peak_3804","immune",7.65930398300283,"Spis","Adult"
"257","orphan_peak_3939","alga.hosting_cells",12.1461677296464,"Spis","Adult"
"258","orphan_peak_4652","gland",5.62783076950955,"Spis","Adult"
"259","orphan_peak_5476","neuron",5.84321279525385,"Spis","Adult"
"260","orphan_peak_5483","neuron",6.44310757401646,"Spis","Adult"
"261","orphan_peak_703","gland",6.97514371245699,"Spis","Adult"
"262","orphan_peak_7126","alga.hosting_cells",6.65847232970664,"Spis","Adult"
"263","orphan_peak_7564","mitotic_host_cells",10.4576600556855,"Spis","Adult"
"264","orphan_peak_881","germline",29.0034996686108,"Spis","Adult"
"265","Xesp_000344","epidermis",15.8599683201431,"Xesp","Adult"
"266","Xesp_000345","epidermis",16.6250034519192,"Xesp","Adult"
"267","Xesp_000432","cnidocyte",145.067878656136,"Xesp","Adult"
"268","Xesp_000459","digestive_filaments",12.5455320231652,"Xesp","Adult"
"269","Xesp_000519","gastrodermis",18.152150152399,"Xesp","Adult"
"270","Xesp_000857","alga.hosting_cells",30.406896003482,"Xesp","Adult"
"271","Xesp_001208","cnidocyte",234.814613233641,"Xesp","Adult"
"272","Xesp_001210","cnidocyte",105.77392541143,"Xesp","Adult"
"273","Xesp_001362","gastrodermis",17.5015214168828,"Xesp","Adult"
"274","Xesp_001796","precursors",11.069629776424,"Xesp","Adult"
"275","Xesp_002591","alga.hosting_cells",59.2519974890164,"Xesp","Adult"
"276","Xesp_002650","gland",8.87715853016434,"Xesp","Adult"
"277","Xesp_002928","gastrodermis",22.0626211633738,"Xesp","Adult"
"278","Xesp_003115","gastrodermis",18.6998835176009,"Xesp","Adult"
"279","Xesp_003489","epidermis",14.3219887462366,"Xesp","Adult"
"280","Xesp_003804","precursors",8.47257275805219,"Xesp","Adult"
"281","Xesp_004451","alga.hosting_cells",25.4593169616481,"Xesp","Adult"
"282","Xesp_004625","epidermis",18.2867805593693,"Xesp","Adult"
"283","Xesp_004626","epidermis",14.3244029256562,"Xesp","Adult"
"284","Xesp_004932","epidermis",15.839290232912,"Xesp","Adult"
"285","Xesp_005999","gland",8.05156891186169,"Xesp","Adult"
"286","Xesp_006272","gland",10.3974891674992,"Xesp","Adult"
"287","Xesp_007182","neuron",14.5792517025833,"Xesp","Adult"
"288","Xesp_007888","digestive_filaments",32.0378681998721,"Xesp","Adult"
"289","Xesp_008467","cnidocyte",80.6260377245547,"Xesp","Adult"
"290","Xesp_008520","cnidocyte",169.885924589066,"Xesp","Adult"
"291","Xesp_008521","cnidocyte",68.5401324128984,"Xesp","Adult"
"292","Xesp_008534","cnidocyte",66.9590023993015,"Xesp","Adult"
"293","Xesp_008614","gland",8.52973427132079,"Xesp","Adult"
