Designation	Taxonomic level	Taxonomic group	Orthogroup count
Dark-Shared	tax_id	114500 (Acropora intermedia)	1
Dark-Shared	tax_id	117778 (Acropora yongei)	2
Dark-Shared	tax_id	1193083 (Alatina alata)	290
Dark-Shared	tax_id	12993 (Cassiopea xamachana)	382
Dark-Shared	tax_id	13093 (Hydractinia symbiolongicarpus)	14
Dark-Shared	tax_id	1403702 (Hormiphora californensis)	11
Dark-Shared	tax_id	142104 (Corallium rubrum)	3
Dark-Shared	tax_id	1428006 (Pseudodiploria strigosa)	4
Dark-Shared	tax_id	1491507 (Pocillopora acuta)	2
Dark-Shared	tax_id	151771 (Dendronephthya gigantea)	1
Dark-Shared	tax_id	1540031 (Coelastrea aspera)	16
Dark-Shared	tax_id	156436 (Acropora microphthalma)	1
Dark-Shared	tax_id	159855 (Acropora muricata)	11
Dark-Shared	tax_id	168739 (Haliclystus sanjuanensis)	9
Dark-Shared	tax_id	168775 (Physalia physalis)	8
Dark-Shared	tax_id	1784781 (Turritopsis sp. SK-2016)	127
Dark-Shared	tax_id	178554 (Xestospongia testudinaria)	31
Dark-Shared	tax_id	1843192 (Calvadosia cruxmelitensis)	51
Dark-Shared	tax_id	1843199 (Lucernaria quadricornis)	7
Dark-Shared	tax_id	1869260 (Dipsastraea lizardensis)	1
Dark-Shared	tax_id	1916238 (Millepora sp. RR-2016)	122
Dark-Shared	tax_id	1954221 (Haliclystus auricula)	33
Dark-Shared	tax_id	1964320 (Hoilungia hongkongensis)	5
Dark-Shared	tax_id	203993 (Pocillopora verrucosa)	60
Dark-Shared	tax_id	204384 (Gorgonia ventalina)	306
Dark-Shared	tax_id	2072708 (Scolanthus callimorphus)	2
Dark-Shared	tax_id	246299 (Montipora cactus)	4
Dark-Shared	tax_id	252671 (Clytia hemisphaerica)	26
Dark-Shared	tax_id	2619190 (Favia_sp_REEFv1)	127
Dark-Shared	tax_id	262591 (Porites rus)	3
Dark-Shared	tax_id	2635559 (Fungia_spp_REEFv1)	40
Dark-Shared	tax_id	264060 (Velella velella)	1057
Dark-Shared	tax_id	2643297 (Astreopora_sp_REEFv1)	276
Dark-Shared	tax_id	2652724 (Exaiptasia diaphana)	20
Dark-Shared	tax_id	269814 (Kudoa iwatai)	2
Dark-Shared	tax_id	2789654 (Plexaura kukenthali)	10
Dark-Shared	tax_id	27923 (Mnemiopsis leidyi)	23
Dark-Shared	tax_id	279588 (Stylissa carteri)	97
Dark-Shared	tax_id	287889 (Trichoplax sp. H2)	1
Dark-Shared	tax_id	308606 (Dynamena pumila)	15
Dark-Shared	tax_id	316235 (Porpita porpita)	34
Dark-Shared	tax_id	317549 (Paramuricea clavata)	54
Dark-Shared	tax_id	35630 (Hydractinia echinata)	26
Dark-Shared	tax_id	367763 (Acropora acuminata)	1
Dark-Shared	tax_id	37510 (Renilla muelleri)	21
Dark-Shared	tax_id	37531 (Craterolophus convolvulus)	28
Dark-Shared	tax_id	400682 (Amphimedon queenslandica)	10
Dark-Shared	tax_id	43186 (Polypodium hydriforme)	14
Dark-Shared	tax_id	45351 (Nematostella vectensis)	2
Dark-Shared	tax_id	46704 (Montipora capitata)	16
Dark-Shared	tax_id	46714 (Lobactis scutaria)	4
Dark-Shared	tax_id	46720 (Porites compressa)	7
Dark-Shared	tax_id	46731 (Pocillopora damicornis)	3
Dark-Shared	tax_id	46732 (Pocillopora meandrina)	1
Dark-Shared	tax_id	46745 (Galaxea fascicularis)	1
Dark-Shared	tax_id	47982 (Plexaura homomalla)	7
Dark-Shared	tax_id	497657 (Pachyseris speciosa)	75
Dark-Shared	tax_id	50429 (Stylophora pistillata)	6
Dark-Shared	tax_id	51061 (Porites australiensis)	1
Dark-Shared	tax_id	51062 (Porites lutea)	6
Dark-Shared	tax_id	51070 (Seriatopora hystrix)	5
Dark-Shared	tax_id	51772 (Corynactis australis)	83
Dark-Shared	tax_id	51823 (Amplexidiscus fenestrafer)	14
Dark-Shared	tax_id	51832 (Ricordea yuma)	5
Dark-Shared	tax_id	541185 (Rhodactis indosinensis)	4
Dark-Shared	tax_id	544493 (Millepora alcicornis)	217
Dark-Shared	tax_id	544496 (Millepora complanata)	94
Dark-Shared	tax_id	544505 (Millepora squarrosa)	87
Dark-Shared	tax_id	59783 (Myxobolus cerebralis)	12
Dark-Shared	tax_id	6052 (Ephydatia muelleri)	99
Dark-Shared	tax_id	6082 (Hydra viridissima)	59
Dark-Shared	tax_id	6087 (Hydra vulgaris)	23
Dark-Shared	tax_id	6088 (Hydra oligactis)	78
Dark-Shared	tax_id	6096 (Podocoryna carnea)	57
Dark-Shared	tax_id	6106 (Actinia equina)	9
Dark-Shared	tax_id	6141 (Tripedalia cystophora)	16
Dark-Shared	tax_id	6145 (Aurelia aurita)	85
Dark-Shared	tax_id	63558 (Montastraea cavernosa)	27
Dark-Shared	tax_id	686327 (Morbakka virulenta)	35
Dark-Shared	tax_id	70779 (Acropora digitifera)	1
Dark-Shared	tax_id	70783 (Acropora tenuis)	1
Dark-Shared	tax_id	81824 (Monosiga brevicollis)	18
Dark-Shared	tax_id	86540 (Xenia sp.)	13
Dark-Shared	tax_id	86597 (Palythoa variabilis)	238
Dark-Shared	tax_id	86600 (Discosoma sp.)	13
Dark-Shared	tax_id	946362 (Salpingoeca rosetta)	29
Dark-Shared	tax_id	999287 (Madracis auretenra)	246
Light-Restricted	clade1	Eumetazoa	17
Light-Restricted	clade	Opisthokonta	8
Light-Restricted	class	Anthozoa	140
Light-Restricted	genus	Acropora	186
Light-Restricted	genus	Haliclystus	14
Light-Restricted	genus	Hydra	105
Light-Restricted	genus	Hydractinia	24
Light-Restricted	genus	Millepora	104
Light-Restricted	genus	Montipora	66
Light-Restricted	genus	Platygyra	5
Light-Restricted	genus	Plexaura	107
Light-Restricted	genus	Pocillopora	307
Light-Restricted	genus	Porites	262
Light-Restricted	genus	Trichoplax	53
Light-Restricted	kingdom	Metazoa	22
Light-Restricted	order	Alcyonacea	228
Light-Restricted	order	Anthoathecata	109
Light-Restricted	order	Scleractinia	771
Light-Restricted	order	Stauromedusae	68
Light-Restricted	phylum	Cnidaria	419
Light-Restricted	species	Aurelia	12
Light-Restricted	species	Calvadosia	6
Light-Restricted	species	Montastraea	7
Light-Restricted	species	Montipora	30
Light-Restricted	species	Pocillopora	3
Light-Restricted	species	Porites	1
Light-Restricted	subclass	Heteroscleromorpha	84
Light-Restricted	subclass	Hexacorallia	591
Light-Restricted	subclass	Hydroidolina	193
Light-Restricted	subclass	Myxosporea	3
Light-Restricted	subclass	NA	33
Light-Restricted	subclass	Octocorallia	103
Light-Restricted	subfamily	Faviinae	3
Light-Restricted	subfamily	NA	617
